timestamp,root_pos_x,root_pos_y,root_pos_z,root_quat_x,root_quat_y,root_quat_z,root_quat_w,lumbar_yaw_joint,lumbar_roll_joint,lumbar_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_elbow_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_elbow_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.6742080857,-1.850171341,0.6124312421,0.02788332097,-0.03988896325,0.7554834487,0.6533575972,-0.2954495566,0.01994641048,0.07411151985,0.02431597505,-0.03417974255,0.3077226044,0.7234657338,0.01901733973,0,0,0.1862150096,-0.05944391015,0.3175376613,0.3390982593,0.01430979278,0,0,-0.5241240926,0.1250523765,0.4703557013,0.5743951966,-0.2223904721,0.368611231,-0.4179040164,-0.07379295151,0.1174839885,0.4625884527,-0.08184104517,0.0753485818
0.03333333333,-0.6726996842,-1.841005144,0.6133394825,0.02733673196,-0.04009950773,0.7548848976,0.6540592663,-0.246241442,0.02040640354,0.06566339928,0.01941239558,-0.04287534635,0.2732519915,0.6617721223,0.01788355627,0,0,0.1727369649,-0.04467413215,0.2715517715,0.3069763668,0.01288257955,0,0,-0.4952817452,0.09704889319,0.4939985251,0.6332614781,-0.2056996179,0.3932850427,-0.3914346429,-0.07542937211,0.1024671304,0.4497964862,-0.08427261748,0.06731947197
0.06666666667,-0.6712416711,-1.831996912,0.6140942286,0.02691367151,-0.04065708113,0.7542482635,0.6547764603,-0.2001078145,0.0205328197,0.05808511923,0.01554239877,-0.05073050431,0.2416454049,0.6038531713,0.01687776417,0,0,0.1595879444,-0.03126776906,0.2292763372,0.2775231172,0.01169593435,0,0,-0.4669657501,0.06844423743,0.5168162679,0.6915558641,-0.1915062867,0.4159370762,-0.3652892855,-0.07719230898,0.08801169838,0.4372711316,-0.08673004672,0.05956090715
0.1,-0.6698686189,-1.823262663,0.6147261704,0.02664614915,-0.04146876615,0.7534393288,0.655667219,-0.159559272,0.02004632894,0.05208165936,0.01355436345,-0.05704727113,0.2152020638,0.5527588622,0.01609846494,0,0,0.147049842,-0.02034766762,0.1936915821,0.2529306306,0.01091791729,0,0,-0.4395726646,0.03880704208,0.5379979976,0.7486664757,-0.1819453563,0.4347360538,-0.3397904449,-0.07917483831,0.07457699206,0.4252303076,-0.08924496998,0.05231606494
0.1333333333,-0.6685908246,-1.814850792,0.6153177677,0.02647605644,-0.04206763567,0.7523157192,0.6569249509,-0.1261572357,0.01875934763,0.0480816524,0.01399899345,-0.06135306917,0.1952785808,0.5103056102,0.01559629965,0,0,0.1353100458,-0.01263130358,0.1665617861,0.2345859332,0.0105969514,0,0,-0.4132463564,0.007984892017,0.5567419439,0.8039780523,-0.1785432639,0.4484090518,-0.3151821624,-0.0814181126,0.06241726276,0.4138105618,-0.09187528215,0.04577854524
0.1666666667,-0.667394302,-1.806738115,0.6159188473,0.02633674595,-0.04211148424,0.7509151948,0.6585281838,-0.1003924576,0.01658909283,0.04619336946,0.01707946995,-0.06343378093,0.1821743387,0.4769347404,0.01537135627,0,0,0.1244434491,-0.008369777992,0.1482862624,0.2229381936,0.01067385556,0,0,-0.3878498295,-0.02382092164,0.5722919397,0.8568818894,-0.1820559616,0.4564150038,-0.2915898509,-0.08390422309,0.05155303044,0.4030483441,-0.09470344469,0.04007443991
0.2,-0.6662488408,-1.798844181,0.6170002149,0.02623047636,-0.04175545358,0.7494831582,0.6601843983,-0.08181139135,0.0135494783,0.04623807535,0.02268202914,-0.06331436164,0.1752748019,0.4519116018,0.01538080968,0,0,0.1144145616,-0.007394967708,0.1380821878,0.2175822028,0.01102937886,0,0,-0.3629947442,-0.0560463096,0.5839802453,0.906797362,-0.1924336543,0.4589772147,-0.2689855522,-0.0865630455,0.04179529296,0.3928786222,-0.09782614027,0.03525270017
0.2333333333,-0.6651210766,-1.791057924,0.6179848236,0.02623811391,-0.04149306214,0.748252742,0.6615948317,-0.06929980561,0.009733093904,0.04784168576,0.03046281793,-0.06120929009,0.1733608161,0.4337409754,0.01555146617,0,0,0.1050982987,-0.009238944783,0.1343821861,0.2174993067,0.01153621678,0,0,-0.338120313,-0.08782637793,0.5912729125,0.9532028291,-0.2089002074,0.4569781349,-0.2471781159,-0.08928907028,0.03280874061,0.3831543839,-0.1013389275,0.03128629634
0.2666666667,-0.6639884736,-1.783266802,0.6187259895,0.02645319629,-0.04165503001,0.7471997897,0.6627650874,-0.06140962094,0.00529468976,0.05055074792,0.0399553876,-0.0574706625,0.1749657532,0.4206376868,0.01579497886,0,0,0.09631248507,-0.01327719633,0.1352942836,0.221362327,0.01209175377,0,0,-0.3126050862,-0.1181162472,0.5938108213,0.9956692521,-0.2301162003,0.4517916015,-0.2258407417,-0.09196335329,0.02419546846,0.3736856574,-0.1053197719,0.02808469103
0.3,-0.6628496178,-1.775379508,0.6193067997,0.02688934384,-0.04210524671,0.7460531701,0.6640096225,-0.05663888739,0.0004412196007,0.05393632234,0.05066639753,-0.05255244117,0.1786810607,0.4109185348,0.01602482157,0,0,0.08785163104,-0.01885470653,0.1389954326,0.2278153393,0.01262553622,0,0,-0.2858872042,-0.1458433225,0.5914363192,1.033887036,-0.2543879456,0.4451374943,-0.2045736235,-0.09447606648,0.01558137509,0.3642892875,-0.1098136689,0.02551565812
